Day,Angle (deg),X,Y
1,0.0,32.17606431718737,0.0
2,0.989010989010989,32.57014843659665,0.5622654004266211
3,1.978021978021978,32.98638529857314,1.1392414868784566
4,2.967032967032967,33.423923527133326,1.7323897989925272
5,3.956043956043956,33.88183407857583,2.3431295472724534
6,4.945054945054945,34.35911357937565,2.9728340665818247
7,5.934065934065934,34.85468784357991,3.6228275022298755
8,6.923076923076923,35.36741554547381,4.294381736977238
9,7.912087912087912,35.89609202326963,4.988713565161032
10,8.901098901098901,36.43945318980845,5.706982118064531
11,9.89010989010989,36.99617952673577,6.4502865426617975
12,10.87912087912088,37.564900139293485,7.219663933973461
13,11.868131868131869,38.14419684973622,8.0160875194935
14,12.857142857142858,38.732608308408835,8.84046509250402
15,13.846153846153847,39.328634102680596,9.693637689595267
16,14.835164835164836,39.93073884520061,10.576378506359966
17,15.824175824175825,40.53735622428827,11.489392044038285
18,16.813186813186814,41.14689300068013,12.433313478854059
19,17.802197802197803,41.75773293629726,13.408708244902904
20,18.791208791208792,42.36824064215211,14.416071820724971
21,19.78021978021978,42.97676533396613,15.455829709113965
22,20.76923076923077,43.581644485496504,16.528337599272064
23,21.75824175824176,44.18120737096301,17.633881700109285
24,22.747252747252748,44.773778489308334,18.772679233296167
25,23.736263736263737,45.35768086430867,19.944879074599996
26,24.725274725274726,45.93123921576684,21.150562532056572
27,25.714285714285715,46.49278299816217,22.389744249641097
28,26.703296703296704,47.04064930419561,23.662373225292335
29,27.692307692307693,47.573185631650745,24.96833393240303
30,28.681318681318682,48.088752512893464,26.30744753420718
31,29.67032967032967,48.585726007151,27.679473180860814
32,30.65934065934066,49.06250005644885,29.084109379418276
33,31.64835164835165,49.51748870674397,30.520995427344214
34,32.63736263736264,49.94912819637404,31.989712900661075
35,33.62637362637363,50.355878914453754,33.48978718831055
36,34.61538461538461,50.73622723228823,35.02068906479438
37,35.604395604395606,51.08868721125206,36.581836293653915
38,36.5934065934066,51.41180219089561,38.17259525483975
39,37.582417582417584,51.70414626130128,39.79228258951245
40,38.57142857142857,51.96432562391999,41.440166856296216
41,39.56043956043956,52.19097984527887,43.11547019347776
42,40.549450549450555,52.382783008069666,44.81736998210003
43,41.53846153846154,52.53844476420774,46.545000505343076
44,42.527472527472526,52.65671129449573,48.297454600009125
45,43.51648351648352,52.73636617954213,50.07378529633683
46,44.50549450549451,52.77623118657222,51.87300744275885
47,45.494505494505496,52.775166976733374,53.6940993125865
48,46.48351648351648,52.73207373744023,55.53600418995492
49,47.472527472527474,52.64589174423259,57.39763193269418
50,48.46153846153847,52.5156018565284,59.27786051010175
51,49.45054945054945,52.340225951554885,61.175537513885295
52,50.43956043956044,52.118827300627714,63.08948164081753
53,51.42857142857143,51.85051089182925,65.01848414590191
54,52.41758241758242,51.53442370300956,66.96131026508489
55,53.40659340659341,51.169754928901895,68.91670060677288
56,54.395604395604394,50.755736166009335,70.88337251161764
57,55.38461538461539,50.29164155878113,72.8600213802244
58,56.37362637362638,49.77678791045696,74.84532196861248
59,57.362637362637365,49.210534761818195,76.83792965142189
60,58.35164835164835,48.59228444094403,78.83648165300708
61,59.34065934065934,47.92148208693266,80.8395982466998
62,60.329670329670336,47.197615650408814,82.84588392264592
63,61.31868131868132,46.42021587350289,84.85392852474023
64,62.30769230769231,45.58885625185468,86.86230835728779
65,63.2967032967033,44.7031529810618,88.86958726211853
66,64.28571428571429,43.76276488986562,90.87431766697063
67,65.27472527472528,42.76739336224104,92.87504160603943
68,66.26373626373626,41.716782250434264,94.87029171366396
69,67.25274725274726,40.61071778087318,96.85859219219017
70,68.24175824175825,39.44902845475724,98.83845975511159
71,69.23076923076923,38.23158494502122,100.808404546647
72,70.21978021978022,36.95829999125503,102.76693103896427
73,71.20879120879121,35.62912829405488,104.71253890830815
