Day,Angle (deg),X,Y
1,0.0,31.088032158593677,0.0
2,0.989010989010989,31.28283957891106,0.5400423137941378
3,1.978021978021978,31.48425475755261,1.0873628279848497
4,2.967032967032967,31.6918540037735,1.642615192759404
5,3.956043956043956,31.90517612380663,2.2064319397011007
6,4.945054945054945,32.12372408881822,2.7794227315002034
7,5.934065934065934,32.34696679221783,3.362172727940488
8,6.923076923076923,32.574340884207714,3.955241072318465
9,7.912087912087912,32.80525267144826,4.559159501388039
10,8.901098901098901,33.03908006983542,5.174431080886484
11,9.89010989010989,33.275174598620964,5.801529067700034
12,10.87912087912088,33.5128634044482,6.4408958987804805
13,11.868131868131869,33.75145130430741,7.092942306035793
14,12.857142857142858,33.99022283693176,7.758046555596722
15,13.846153846153847,34.22844431273106,8.436553809110995
16,14.835164835164836,34.465365852998595,9.12877560404319
17,15.824175824175825,34.700223409798134,9.834989449361547
18,16.813186813186814,34.93224075864426,10.55543853247553
19,17.802197802197803,35.16063145680935,11.290331532847748
20,18.791208791208792,35.38460076081817,12.039842537339855
21,19.78021978021978,35.6033474974187,12.804111052062037
22,20.76923076923077,35.81606588302948,13.583242105274069
23,21.75824175824176,36.021947287361044,14.37730643573066
24,22.747252747252748,36.22018193758133,15.186340760769369
25,23.736263736263737,36.40996056003484,16.010348118399513
26,24.725274725274726,36.590475957134736,16.849298277661767
27,25.714285714285715,36.76092451761737,17.703128211583916
28,26.703296703296704,36.920507658881256,18.57174262715359
29,27.692307692307693,37.06843320062352,19.45501454685804
30,28.681318681318682,37.20391666943836,20.352785936500382
31,29.67032967032967,37.32618253445061,21.264868374184132
32,30.65934065934066,37.43446537442691,22.19104375556116
33,31.64835164835165,37.528010977137214,23.131065030657204
34,32.63736263736264,37.6060773720292,24.084656967818532
35,33.62637362637363,37.66793579753494,25.05151694056325
36,34.61538461538461,37.71287160454894,26.031315733364508
37,35.604395604395606,37.74018509780402,27.023698362638523
38,36.5934065934066,37.74919231703106,28.02828490945827
39,37.582417582417584,37.739225759917,29.044671360757327
40,38.57142857142857,37.709635048980424,30.072430456029092
41,39.56043956043956,37.65978754456411,31.1111125367622
42,40.549450549450555,37.589068906203494,32.16024639608116
43,41.53846153846154,37.49688360467041,33.219340126283484
44,42.527472527472526,37.382655387012896,34.28788196217586
45,43.51648351648352,37.245827696921715,35.36534111831758
46,44.50549450549451,37.08586405274503,36.45116861847165
47,45.494505494505496,36.902248385458904,37.54479811575217
48,46.48351648351648,36.69448533886925,38.64564670212809
49,47.472527472527474,36.462100534287615,39.75311570611215
50,48.46153846153847,36.204640801876096,40.86659147761736
51,49.45054945054945,35.92167438080861,41.98544615911133
52,50.43956043956044,35.612791090337176,43.109038442333436
53,51.42857142857143,35.27760247379564,44.236714309971404
54,52.41758241758242,34.91574191750586,45.36780776180879
55,53.40659340659341,34.5268647464893,46.50164152496964
56,54.395604395604394,34.11064829881622,47.6375277479868
57,55.38461538461539,33.66679198035792,48.77476867851707
58,56.37362637362638,33.19501730163646,49.912657324614315
59,57.362637362637365,32.69506789839707,51.0504780995531
60,58.35164835164835,32.166709537457116,52.18750745026879
61,59.34065934065934,31.60973010931837,53.32301446955242
62,60.329670329670336,31.02393960895814,54.45626149219808
63,61.31868131868132,30.409170106148224,55.58650467536172
64,62.30769230769231,29.76527570658385,56.71299456344201
